x y t case x_pre y_pre x_cor y_cor
3177.94 1126.86 30.9334 4 3177 1126 3177 1126
3177.94 1126.86 31.0556 4 3177 1126 3177 1126
3177.94 1126.86 31.1833 4 3177 1126 3177 1126
3177.94 1126.86 31.3049 4 3177 1126 3177 1126
3177.94 1126.86 31.4338 4 3177 1126 3177 1126
3177.94 1126.86 31.5567 4 3177 1126 3177 1126
3177.94 1126.86 31.682 4 3177 1126 3177 1126
3177.94 1126.86 31.8063 4 3177 1126 3177 1126
3177.94 1126.86 31.9347 4 3177 1126 3177 1126
3177.94 1126.86 32.0554 4 3177 1126 3177 1126
3177.94 1126.86 32.1815 4 3177 1126 3177 1126
3177.94 1126.86 32.3034 4 3177 1126 3177 1126
3177.94 1126.86 32.8942 4 3177 1126 3177 1126
3177.94 1126.86 33.025 4 3177 1126 3177 1126
3177.94 1126.86 33.1489 4 3177 1126 3177 1126
3177.94 1126.86 33.2725 4 3177 1126 3177 1126
3177.94 1126.86 33.3983 4 3177 1126 3177 1126
3177.94 1126.86 33.5299 4 3177 1126 3177 1126
3177.94 1126.86 33.6468 4 3177 1126 3177 1126
3177.94 1126.86 33.7756 4 3177 1126 3177 1126
3177.94 1126.86 33.8932 4 3177 1126 3177 1126
3177.94 1126.86 34.0214 4 3177 1126 3177 1126
3177.94 1126.86 34.144 4 3177 1126 3177 1126
3177.94 1126.86 34.2729 4 3177 1126 3177 1126
3177.94 1126.86 34.3956 4 3177 1126 3177 1126
3177.94 1126.86 34.5206 4 3177 1126 3177 1126
3177.94 1126.86 34.6427 4 3177 1126 3177 1126
3177.94 1126.86 34.7728 4 3177 1126 3177 1126
3177.94 1126.86 34.8927 4 3177 1126 3177 1126
3177.94 1126.86 35.0213 4 3177 1126 3177 1126
3177.94 1126.86 35.144 4 3177 1126 3177 1126
3177.94 1126.86 35.2676 4 3177 1126 3177 1126
3177.94 1126.86 35.3938 4 3177 1126 3177 1126
3177.94 1126.86 35.5178 4 3177 1126 3177 1126
3177.94 1126.86 35.6422 4 3177 1126 3177 1126
3177.94 1126.86 36.4847 4 3177 1126 3177 1126
3177.94 1126.86 36.6124 4 3177 1126 3177 1126
3177.94 1126.86 36.7349 4 3177 1126 3177 1126
3177.94 1126.86 36.8629 4 3177 1126 3177 1126
3177.94 1126.86 36.9886 4 3177 1126 3177 1126
3177.94 1126.86 37.1142 4 3177 1126 3177 1126
3177.94 1126.86 37.2338 4 3177 1126 3177 1126
3177.94 1126.86 37.3598 4 3177 1126 3177 1126
3177.94 1126.86 37.4829 4 3177 1126 3177 1126
3177.94 1126.86 37.6126 4 3177 1126 3177 1126
3177.94 1126.86 37.733 4 3177 1126 3177 1126
3177.94 1126.86 37.8615 4 3177 1126 3177 1126
3177.94 1126.86 37.9824 4 3177 1126 3177 1126
3177.94 1126.86 38.1042 4 3177 1126 3177 1126
3177.94 1126.86 38.2338 4 3177 1126 3177 1126
